רשימת יישובים ואזורים סטטיסטיים שבהם מתגוררת אוכלוסייה חרדית לפי רמת הומוגניות חרדית,,,,,,
" לפי תוצאות הבחירות לכנסת ה-20, שנערכו בשנת 2015",,,,,,
מס',רמת הומוגניות חרדית ,שם יישוב,סמל יישוב,סמל אזור סטטיסטי,פירוט גאוגרפי,רמה מקובצת של הומוגניות חרדית - בחירות 13
116,5,אלעד,1309,1,"חוני המעגל, רבי יהודה נשיא, רבי עקיבא, רבן יוחנן בן זכאי, רבנו ניסים גאון",5
117,5,אלעד,1309,5,"רבי יהודה נשיא, רמב""ם, רבן יוחנן בן זכאי, רש""י, רשב""י",5
118,5,בית שמש,2610,33,"נהר הירדן, רבן יוחנן בן זכאי, ריב""ל, רבי מאיר בעל הנס, רבי צדוק",5
119,5,ביתר עילית,3780,2,"אלעזר המודעי, רבי עקיבא, חת""ם סופר, הבעל שם טוב, חזון איש",5
120,5,בני ברק,6100,114,"נויפלד, נורוק, הרב מצליח, קובלסקי, אברבנאל",5
121,5,בני ברק,6100,115,"השר אלון יגאל, אברבנאל, עמק יזרעאל, הירקון, המכבים",5
122,5,בני ברק,6100,426,"בירנבוים, רב האי גאון, רימון, נחשוני יהודה, אורליאן",5
123,5,ירושלים,3000,531,"דרך בר-לב, קלרמון גנו, שד לוי אשכול, שמעון הצדיק, נטר",5
124,5,ירושלים,3000,822,"זוננפלד, בית ישראל, שמואל הנביא, הבעש""ט, קארו יוסף",3
125,5,ירושלים,3000,823,"זוננפלד, הרב עדני, לייב דיין, מאה שערים, הרב אשלג",5
126,5,ירושלים,3000,833,"הטורים, יפו, רש""י, נבון, יוסף בן מתתיהו",5
127,5,ירושלים,3000,922,"גבעת שאול, ימין אבות, בעל השאילתות, בן ציון, קוטלר",4
128,5,ירושלים,3000,923,"בן עוזיאל, עמרם גאון, נג'ארה, גבעת שאול, כנפי נשרים",6
129,5,עמנואל,3660,0,,6
6,,,,,,
130,6,אופקים,31,4,"אצ""ל, שד הרצל, עולי הגרדום, החיד""א, ביל""ו",6
131,6,אספר,3754,0,,7
132,6,בית שמש,2610,37,"נחל ערוגות, נחל עין גדי, נחל הקישון, ערבות הנחל, שד נחל צאלים",6
133,6,בני ברק,6100,231,"הרצוג, נתן הנביא, טבריה, בן גוריון דוד, מנחם",6
134,6,בני ברק,6100,421,"שאול המלך, עזרא, הרב כהנמן, שלמה המלך, הרב בן יעקב",10
135,6,ירושלים,3000,113,"שד נוה יעקב, אסטורה, הרב פניז'ל, מעגלות הרב פרדס, פונט ישראל",6
136,6,ירושלים,3000,114,"מעגלות הרב פרדס, מבוא פלג אדמונד, לבנה אליעזר, בר יקר דב, גולאק אשר",6
137,6,ירושלים,3000,115,"בלבן מאיר, גולדברג לאה, ויקטור ויוליוס, מעגלות הרב פרדס, שד נוה יעקב",6
138,6,ירושלים,3000,858,"נרקיס, כהנוב, פרוש, השל""ה, שערי חסד",7
139,6,ירושלים,3000,1032,"שחראי, הרב עוזיאל, בית וגן, חקלאי זאב",6
140,6,ירושלים,3000,2512,הרובע היהודי,7
141,6,כפר גדעון,106,0,,6
